ResponseID,StartDate,EndDate,age,gender,education,status,state,municipality,purchase_date,quality,bad_quantity,bad_value,good_quantity,good_value,relationship,experience,frequency,average_amount
R_25FqkW6lMNFjtAC,20/02/19 16:45,20/02/19 16:49,23,Men,High school,Upper class,Nuevo León,San Pedro Garza García 19019,14-feb-19,Bad,25.0,1300.0,,,Stranger,18.0,45.0,20.0
R_25FroA9XfgNAfur,28/06/19 14:50,28/06/19 14:54,31,Women,Bachelor,Lower middle class,Veracruz,Poza Rica de Hidalgo 30131,22-jun-19,Good,,,12.0,375.0,Stranger,16.0,15.0,15.0
R_25G9eHnyrH92So1,22/03/19 17:08,22/03/19 17:18,22,Men,High school,Middle class,Chihuahua,Juárez 08037,22-mar-19,Good,,,4.0,50.0,Friend,18.0,5.0,50.0
R_25GxVzmBL5EKNUG,19/02/19 23:57,20/02/19 00:02,43,Men,Graduate,Upper middle class,Jalisco,Tlajomulco de Zúñiga 14097,08-feb-19,Good,,,25.0,800.0,Stranger,21.0,35.0,25.0
R_25KIoAIbWgADgn2,22/03/19 13:51,22/03/19 13:52,5,,,,,,,,,,,,,,,
R_25KP82BADkeuqRj,22/03/19 12:57,22/03/19 13:00,21,Women,High school,Middle class,Ciudad de México,Cuauhtémoc 09015,20-mar-19,Good,,,5.0,200.0,Friend,14.0,30.0,5.0
R_25LB9Wn06Bvj5g2,19/02/19 17:27,19/02/19 17:30,34,Women,Bachelor,Middle class,Sonora,Hermosillo 26030,05-feb-19,Bad,,,,,,,,
R_25LLA9NMetTCvOw,27/08/19 00:12,27/08/19 01:34,24,Women,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,26aug2019,,,,,,,,,
R_25LqcmvXpgg4w9z,21/03/19 19:19,21/03/19 19:22,32,Men,Bachelor,Middle class,Ciudad de México,Azcapotzalco 09002,18-feb-19,Good,,,28.0,1500.0,Acquaintance,16.0,90.0,
R_25MI360aWypxM1L,19/02/19 17:24,19/02/19 17:27,21,Women,High school,Upper middle class,Yucatán,Mérida 31050,01-feb-19,Good,,,3.0,250.0,Stranger,18.0,20.0,3.0
R_25MJUkJIL7COC3I,01/07/19 19:32,01/07/19 19:35,24,Men,High school,Lower middle class,México,Naucalpan de Juárez 15057,01-jul-19,Bad,,,,,,,,
R_25MYTw154BOl2r7,01/05/19 22:08,01/05/19 22:08,28,Men,,,,,,,,,,,,,,
R_25N7FIXEYkniSla,21/03/19 20:02,21/03/19 20:09,31,Men,Bachelor,Middle class,Nuevo León,,,Good,,,28.0,800.0,Stranger,25.0,2.0,30.0
R_25QvZslPp6U7i5e,29/06/19 09:13,29/06/19 09:19,34,Women,Bachelor,Middle class,Quintana Roo,Benito Juárez 23005,22-may-19,Good,,,56.0,3000.0,Stranger,27.0,30.0,28.0
R_25R7KAqXb1F3kVS,19/02/19 17:30,19/02/19 20:18,20,Men,High school,Upper class,Ciudad de México,Cuajimalpa de Morelos 09004,19-feb-19,Good,,,100000.0,10000000.0,Stranger,5.0,2.0,10000.0
R_25SZBlp667IyWaM,29/03/19 01:07,29/03/19 01:08,50,,,,,,,,,,,,,,,
R_25SdPYkJRnNQncv,19/02/19 18:19,19/02/19 18:56,25,Men,Bachelor,Middle class,Guanajuato,Guanajuato 11015,19jan2019,Good,,,20.0,50.0,Acquaintance,16.0,20.0,20.0
R_25YP8MdB5GZHAed,14/05/19 21:58,14/05/19 22:01,26,Men,Graduate,Upper middle class,Baja California,Tijuana 02004,23apr2019,Good,,,2.0,200.0,Acquaintance,26.0,15.0,2.0
R_25Zo5drljbTaWAr,20/02/19 22:45,20/02/19 22:49,21,Men,High school,Upper middle class,Jalisco,Zapopan 14120,01-feb-19,Good,,,28.0,500.0,Friend,16.0,7.0,28.0
R_25ZvB1IV4Jolbbs,19/02/19 17:36,19/02/19 17:40,24,Women,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,19-feb-19,Good,,,1.0,30.0,Stranger,16.0,8.0,4.0
R_25cgt2iUokJj42t,19/02/19 16:04,19/02/19 16:07,29,Men,Bachelor,Lower middle class,Ciudad de México,Iztapalapa 09007,14-feb-19,Good,,,15.0,200.0,Stranger,23.0,15.0,15.0
R_25sdKsgM6UpiZwE,31/08/19 15:32,31/08/19 15:33,20,Men,High school,Upper middle class,Chihuahua,Chihuahua 08019,,,,,,,,,,
R_25slpPb0ygwu9Dp,26/02/19 18:23,26/02/19 18:32,48,Women,Bachelor,Lower middle class,Yucatán,Mérida 31050,02dec2018,Good,,,2.0,250.0,Stranger,19.0,35.0,2.0
R_25t1MZKkVPIXLgK,22/03/19 15:59,22/03/19 16:02,20,Men,High school,Middle class,Hidalgo,Pachuca de Soto 13048,17-mar-19,Good,,,,,,,,
R_25tP4Kt8rjgvwkA,19/02/19 15:36,19/02/19 15:39,41,Women,High school,Middle class,Ciudad de México,Cuauhtémoc 09015,,,,,,,,,,
R_25uo8a8GN4e3FZb,28/03/19 01:50,28/03/19 01:56,22,Men,High school,Middle class,Yucatán,Mérida 31050,12-mar-19,Good,,,2.0,100.0,Stranger,17.0,8.0,4.0
R_25utldDDqdtfuOZ,02/07/19 12:25,02/07/19 12:28,19,Men,High school,Middle class,Ciudad de México,Tláhuac 09011,01-jul-19,Good,,,90.0,800.0,Friend,15.0,3.0,50.0
R_25vicN5LzZPYPUB,19/02/19 18:20,19/02/19 18:23,20,Men,Bachelor,Upper middle class,Puebla,Puebla 21114,18-feb-19,Good,,,200.0,7.0,Friend,15.0,4.0,15.0
R_25z1NVFQcXOAeYc,27/08/19 01:44,27/08/19 01:51,28,Men,Bachelor,Middle class,Tlaxcala,Tlaxcala 29033,05-may-19,Good,,,24.0,900.0,Acquaintance,16.0,7.0,24.0
R_26555N1J2pimSE0,27/08/19 01:47,27/08/19 01:53,23,Men,High school,Lower middle class,Ciudad de México,Azcapotzalco 09002,07aug2019,Good,,,10.0,200.0,Friend,15.0,15.0,15.0
R_265sN476QDx5STu,27/03/19 18:49,27/03/19 18:52,21,Men,Bachelor,Lower middle class,Puebla,Atlixco 21019,,,,,,,,,,
R_268AVd4JPWJEnDv,30/08/19 18:06,30/08/19 18:09,32,Men,Bachelor,Middle class,Chiapas,Tuxtla Gutiérrez 07101,16aug2019,Good,,,14.0,600.0,Stranger,30.0,60.0,14.0
R_26aahGerTpKWtPo,19/02/19 23:41,19/02/19 23:44,23,Men,Bachelor,Lower middle class,Ciudad de México,Cuauhtémoc 09015,,Good,,,5.0,50.0,Stranger,18.0,15.0,10.0
R_26ajNwrovfSDRQl,19/02/19 19:14,19/02/19 19:18,24,Men,Bachelor,Lower middle class,Ciudad de México,Iztacalco 09006,18-feb-19,Good,,,25.0,1500.0,Friend,19.0,7.0,20.0
R_26auFPr09C0dWh8,20/02/19 19:17,20/02/19 19:19,23,Men,Bachelor,Upper middle class,Baja California,Ensenada 02001,20-feb-19,Good,,,1.0,5.0,Friend,17.0,7.0,4.0
R_26bccWHI4vYQmJs,01/07/19 17:57,01/07/19 18:03,23,Men,High school,Middle class,Nuevo León,Monterrey 19039,,Good,,,3.0,300.0,Acquaintance,12.0,5.0,450.0
R_26btAhaxRNC9vVE,27/08/19 02:57,27/08/19 03:00,25,Men,High school,Upper middle class,San Luis Potosí,San Luis Potosí 24028,26aug2019,Bad,125.0,600.0,,,Friend,15.0,30.0,125.0
R_26evnZ8dHd2DYLP,22/03/19 00:13,22/03/19 00:17,20,Men,High school,Middle class,Ciudad de México,Coyoacán 09003,15-mar-19,Good,,,2.0,100.0,Stranger,16.0,3.0,2.0
R_26f4h1PA93HXhP2,20/02/19 00:46,20/02/19 00:49,22,Men,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,,,,,,,,,,
R_26fDpLlRhy3iRCn,20/02/19 10:37,20/02/19 10:41,25,Men,Graduate,Middle class,Tabasco,Centro 27004,15-feb-19,Good,,,5.0,200.0,Acquaintance,22.0,15.0,5.0
R_26kArfDX8yYs9i2,19/02/19 23:43,19/02/19 23:44,22,Men,Bachelor,Middle class,,,,,,,,,,,,
R_26lnngEwubW42Kg,19/02/19 18:24,19/02/19 18:25,25,Men,High school,Upper middle class,Ciudad de México,Benito Juárez 09014,,,,,,,,,,
R_26mtL5l2jWUdBmG,05/09/19 21:34,05/09/19 21:38,25,Men,Bachelor,Upper middle class,Nuevo León,San Nicolás de los Garza 19046,03-sep-19,Good,,,85.0,600.0,Friend,18.0,15.0,85.0
R_26nFuMfus75p327,28/03/19 09:11,28/03/19 09:21,21,Men,High school,Middle class,Yucatán,Mérida 31050,27-mar-19,Good,,,14.0,600.0,Friend,16.0,7.0,8.0
R_26o5NlgvMzGKrJp,28/06/19 20:57,28/06/19 21:01,22,Men,High school,Middle class,Ciudad de México,Gustavo A. Madero 09005,01-jun-19,Good,,,1.0,30.0,Acquaintance,19.0,30.0,4.0
R_271XwTW7CoaDmTR,01/07/19 00:15,01/07/19 00:17,33,Men,Bachelor,Upper middle class,Ciudad de México,Cuauhtémoc 09015,03-jun-19,Good,,,28.0,500.0,Stranger,18.0,30.0,56.0
R_271iPWbPjD4oqov,20/06/19 11:57,20/06/19 12:01,30,Men,Bachelor,Middle class,Coahuila,Torreón 05035,07-jun-19,Good,,,10.0,600.0,Friend,25.0,20.0,10.0
R_271ih7vL1coWlnD,20/02/19 02:07,20/02/19 02:09,24,Other,Bachelor,Upper middle class,Veracruz,Orizaba 30118,19-sep-18,Bad,25.0,200.0,,,Friend,21.0,30.0,25.0
R_27258ibHey8MvEp,28/06/19 17:35,28/06/19 17:37,28,Women,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,12-jun-19,Bad,28.0,400.0,,,Acquaintance,16.0,15.0,28.0
R_273B1w4L8pMvUsL,01/07/19 23:36,01/07/19 23:41,21,Women,Bachelor,Middle class,Ciudad de México,Cuajimalpa de Morelos 09004,,Good,,,2.0,250.0,Acquaintance,17.0,30.0,2.0
R_274oA156gqTJvIS,22/08/19 18:45,22/08/19 18:49,35,Men,Bachelor,Upper class,Quintana Roo,Benito Juárez 23005,18aug2019,Good,,,25.0,2400.0,Stranger,19.0,5.0,25.0
R_274rvt8osWoXdyt,23/03/19 00:29,23/03/19 00:38,21,Women,Bachelor,Middle class,Tlaxcala,Huamantla 29013,01-mar-19,Good,,,20.0,100.0,Friend,16.0,10.0,25.0
R_278oWMlhtLNRp4n,19/02/19 17:39,19/02/19 17:43,26,Men,Bachelor,Lower middle class,Coahuila,Torreón 05035,07-feb-19,Good,,,12.0,500.0,Acquaintance,16.0,14.0,12.0
R_27B8WpRy82Su55f,20/02/19 11:22,20/02/19 11:26,25,Women,Bachelor,Middle class,México,Toluca 15106,11-feb-19,Good,,,3.0,100.0,Stranger,25.0,60.0,4.0
R_27BAd1UYDMjkDT9,01/07/19 23:58,02/07/19 00:01,30,Men,Bachelor,Middle class,,,,,,,,,,,,
R_27BhoQzaKgzdohi,30/08/19 23:30,30/08/19 23:32,33,Men,High school,Lower middle class,Jalisco,Tonalá 14101,25aug2019,Bad,25.0,200.0,,,Stranger,,,
R_27Btt1cLoQf4Ybf,27/03/19 23:23,27/03/19 23:26,22,Men,High school,Middle class,Puebla,Puebla 21114,25-mar-19,Bad,7.0,50.0,,,Acquaintance,17.0,10.0,8.0
R_27CLyYpuwEYILnd,19/02/19 17:30,19/02/19 17:34,24,Men,Bachelor,Upper middle class,Puebla,San Andrés Cholula 21119,18-feb-19,Good,,,4.0,200.0,Friend,18.0,7.0,5.0
R_27CpxmJUQHru3UX,19/02/19 18:21,19/02/19 18:23,25,Men,Bachelor,Middle class,Nuevo León,Monterrey 19039,,Good,,,100.0,2500.0,Acquaintance,20.0,30.0,159.0
R_27D6sXpcJLLBCZA,19/02/19 19:03,19/02/19 19:06,25,Men,Bachelor,Middle class,Veracruz,Xalapa 30087,14-feb-19,Good,,,30.0,200.0,Acquaintance,17.0,60.0,10.0
R_27D8QLHBgMDwfXZ,26/02/19 14:07,26/02/19 14:10,28,Men,Bachelor,Upper middle class,Jalisco,Guadalajara 14039,13-feb-19,Good,,,450.0,25000.0,Stranger,16.0,50.0,28.0
R_27DJuhZFgyYJNjf,21/03/19 22:39,21/03/19 22:45,21,Women,Bachelor,Upper middle class,Quintana Roo,Benito Juárez 23005,20-mar-19,Good,,,28.0,3500.0,Friend,14.0,4.0,20.0
R_27JCg4RN46i2QpS,01/07/19 12:42,01/07/19 12:46,19,Men,High school,Middle class,Ciudad de México,Gustavo A. Madero 09005,01-jul-19,Good,,,500.0,2000.0,Friend,14.0,2.0,250.0
R_27JzdSVSrKJdhKJ,21/02/19 18:49,21/02/19 18:50,25,Men,Bachelor,Middle class,,,,,,,,,,,,
R_27KirZsKNg8KXC5,05/05/19 22:23,05/05/19 22:25,18,Men,High school,Middle class,Ciudad de México,Gustavo A. Madero 09005,05-may-19,,,,,,,,,
R_27OMmhOnJq4vCuz,27/08/19 08:24,27/08/19 08:28,36,Men,Bachelor,Upper middle class,Jalisco,Zapopan 14120,12aug2019,Good,,,21.0,400.0,Stranger,21.0,20.0,20.0
R_27Opd840Hp4haEQ,29/08/19 15:49,29/08/19 15:51,22,Men,High school,Upper middle class,Ciudad de México,Álvaro Obregón 09010,,Good,,,3.5,600.0,Stranger,,,
R_27TgnyDk5jWWXNV,19/02/19 18:15,19/02/19 18:18,38,Men,Graduate,Middle class,Baja California,Mexicali 02002,30jan2019,Good,,,5.0,50.0,Acquaintance,18.0,7.0,5.0
R_27Uv0Qchr7iS3Zp,25/02/19 10:22,25/02/19 10:26,28,Men,Bachelor,Middle class,Aguascalientes,Aguascalientes 01001,22-feb-19,Good,,,15.0,200.0,Friend,15.0,10.0,20.0
R_27WLrFUsuKhNvty,26/02/19 15:39,26/02/19 15:49,24,Men,Bachelor,Middle class,Oaxaca,Santo Domingo Tehuantepec 20515,15jan2019,Good,,,20.0,100.0,Stranger,15.0,20.0,20.0
R_27WMxL1DgR31F3b,01/07/19 19:47,01/07/19 19:48,18,Men,High school,Upper middle class,,,,,,,,,,,,
R_27cXOTgMLlgU91i,26/02/19 16:18,26/02/19 16:19,17,,,,,,,,,,,,,,,
R_27dR3TcUOllFuwe,20/02/19 18:56,20/02/19 18:57,28,Men,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,,,,,,,,,,
R_27g4FF0mKzouyv1,05/03/19 20:47,05/03/19 20:54,22,Men,High school,Upper middle class,Nuevo León,Monterrey 19039,02-mar-19,Good,,,7.0,400.0,Acquaintance,19.0,7.0,22.0
R_27jRak8mg9AOkbN,30/06/19 15:43,30/06/19 15:44,5,,,,,,,,,,,,,,,
R_27jUlH1NHk9X3Bf,28/03/19 03:05,28/03/19 03:09,25,Women,Middle school,Lower middle class,Aguascalientes,Aguascalientes 01001,26-mar-19,Good,,,6.0,50.0,Stranger,19.0,22.0,12.0
R_27lhmegum8yHNvR,01/07/19 03:42,01/07/19 03:46,18,Men,Middle school,Lower middle class,Morelos,Cuautla 17006,30-jun-19,Bad,4.0,80.0,,,Stranger,15.0,7.0,4.0
R_27m7jE9dhFqRpbx,30/08/19 16:54,30/08/19 17:04,32,Women,High school,Middle class,Quintana Roo,Benito Juárez 23005,29aug2019,Good,,,13.0,450.0,Acquaintance,23.0,7.0,13.0
R_27pR5VVf98flhVk,27/02/19 11:56,27/02/19 11:59,22,Women,High school,Middle class,Ciudad de México,Gustavo A. Madero 09005,26-feb-19,Good,,,6.0,420.0,Acquaintance,19.0,20.0,6.0
R_27pptvxveRifwSD,23/02/19 08:12,23/02/19 08:14,19,Men,Bachelor,Upper middle class,,,,,,,,,,,,
R_27qHeQaNjebSxlt,04/03/19 08:25,04/03/19 08:29,32,Men,Bachelor,Upper middle class,Ciudad de México,Tlalpan 09012,20-jun-18,Good,,,28.0,2500.0,Acquaintance,24.0,180.0,28.0
R_27rLtd5oO1cxto4,28/03/19 12:12,28/03/19 12:15,21,Women,Bachelor,Lower middle class,Nuevo León,Monterrey 19039,04-mar-19,Bad,500.0,1000.0,,,Stranger,16.0,30.0,200.0
R_27rQm587qyLAeVB,28/03/19 01:46,28/03/19 01:51,18,Men,High school,Lower middle class,Coahuila,Monclova 05018,27-mar-19,Good,,,10.0,100.0,,15.0,7.0,10.0
R_27vVaLjdhcOeBR2,18/05/19 15:42,18/05/19 15:51,20,Men,High school,Lower middle class,Yucatán,Mérida 31050,08-may-19,Good,,,3.0,200.0,Acquaintance,17.0,15.0,3.0
R_27vq5O1cBjvrqhZ,22/03/19 04:29,22/03/19 04:33,23,Men,Bachelor,Middle class,Ciudad de México,Gustavo A. Madero 09005,15-mar-19,Good,,,1.0,10.0,Acquaintance,15.0,7.0,5.0
R_27vrZLNX3vusJcy,08/07/19 01:16,08/07/19 01:20,29,Women,Bachelor,Lower middle class,Baja California,Ensenada 02001,,Good,,,,,,,,
R_27vwtrA6D1RcRIH,19/02/19 16:44,19/02/19 16:47,21,Men,High school,Middle class,Jalisco,Guadalajara 14039,01-feb-19,Good,,,40.0,50.0,Stranger,13.0,60.0,40.0
R_27wIzV3WeGgh2PJ,20/02/19 19:15,20/02/19 19:24,27,Men,Bachelor,Middle class,Nuevo León,Hualahuises 19029,01-feb-19,Good,,,35.0,400.0,Friend,6.0,365.0,500.0
R_27x6KR0sOGKNvBo,01/09/19 09:45,01/09/19 11:57,25,Men,Bachelor,Middle class,México,Toluca 15106,14aug2019,Good,,,21.0,150.0,Stranger,23.0,21.0,150.0
R_28AO2oJfmfNrMUQ,19/02/19 18:34,19/02/19 18:39,43,Women,Graduate,Upper middle class,Ciudad de México,Cuauhtémoc 09015,10jan2019,Good,,,28.0,2000.0,Stranger,15.0,60.0,28.0
R_28AurrOMrGvH8hm,26/08/19 22:22,26/08/19 22:26,28,Men,High school,Lower middle class,Michoacán,Morelia 16053,23aug2019,Good,,,50.0,150.0,Acquaintance,18.0,30.0,50.0
R_28BOoudraa6kkXB,19/02/19 19:03,19/02/19 19:07,35,Men,Bachelor,Upper middle class,Jalisco,Zapopan 14120,18-feb-19,Bad,5.0,10.0,,,Stranger,14.0,20.0,
R_28CzXAm2Z2qTQoq,19/02/19 17:54,19/02/19 17:57,19,Men,High school,Middle class,Morelos,Cuautla 17006,15-feb-19,Bad,14.0,100.0,,,Acquaintance,17.0,20.0,15.0
R_28FGzo4QivfR17l,22/02/19 17:46,22/02/19 17:49,23,Men,Bachelor,Lower middle class,Ciudad de México,Iztapalapa 09007,19-feb-19,Bad,10.0,150.0,,,Acquaintance,17.0,15.0,3.0
R_28FK1XgSywXSuiJ,29/06/19 19:02,29/06/19 19:07,22,Men,High school,Middle class,Jalisco,Tlajomulco de Zúñiga 14097,28-jun-19,Good,,,28.0,600.0,Acquaintance,17.0,15.0,25.0
R_28G7wpDjLxGX9vw,30/08/19 16:30,30/08/19 16:32,21,Men,Bachelor,Lower middle class,Zacatecas,Huanusco 32018,28aug2019,Bad,10.0,120.0,,,Acquaintance,19.0,3.0,10.0
R_28HiKQGxu6PxNJs,01/07/19 17:21,01/07/19 17:27,34,Men,Bachelor,Middle class,Ciudad de México,Cuauhtémoc 09015,01-jul-19,Good,,,8.0,1000.0,Stranger,30.0,30.0,28.0
R_28J0WxmoVn60kWr,21/03/19 19:12,21/03/19 19:17,23,Men,Bachelor,Middle class,Oaxaca,Santa Cruz Xoxocotlán 20385,13-mar-19,Good,,,12.0,350.0,Acquaintance,21.0,180.0,14.0
R_28MoCF5a9yWUsGq,26/08/19 21:13,26/08/19 21:17,24,Women,Bachelor,Upper middle class,Zacatecas,Guadalupe 32017,09aug2019,Bad,50.0,200.0,,,Stranger,16.0,10.0,30.0
R_28MoCpx98KN0CyD,23/03/19 04:43,23/03/19 04:45,28,Men,High school,Middle class,Ciudad de México,Cuauhtémoc 09015,19-mar-19,Bad,12.0,100.0,,,Acquaintance,16.0,15.0,10.0
R_28NGGYI8hfJ0qkp,23/03/19 12:23,23/03/19 12:27,28,Men,Graduate,Middle class,Puebla,Puebla 21114,01-mar-19,Good,,,15.0,100.0,Acquaintance,16.0,7.0,15.0
R_28NW3vG58wlZhPc,21/03/19 19:06,21/03/19 19:13,25,Men,Bachelor,Middle class,Chiapas,Motozintla 07057,21-mar-19,Bad,7.0,25.0,,,Stranger,20.0,5.0,10.0
R_28OHI1GManGHNIt,02/07/19 13:52,02/07/19 13:55,18,Men,High school,Middle class,Ciudad de México,Tláhuac 09011,02-jul-19,Good,,,5.0,250.0,Stranger,16.0,20.0,7.0
R_28RSpzHBgQfhgP3,22/03/19 15:01,22/03/19 15:05,24,Men,Bachelor,Middle class,México,Toluca 15106,06-mar-19,Good,,,29.0,800.0,Acquaintance,21.0,40.0,14.0
R_28XNp3HjLDDFFLJ,06/07/19 01:41,06/07/19 01:45,20,Men,High school,Middle class,Ciudad de México,Cuauhtémoc 09015,05-jul-19,Good,,,2.0,50.0,Stranger,20.0,0.0,5.0
R_28Y8hQSW5NUIDD2,25/03/19 01:21,25/03/19 01:23,20,Men,High school,Lower middle class,,,,,,,,,,,,
R_28YWeaRUYo6bWqI,28/06/19 19:00,28/06/19 19:02,31,Men,Bachelor,Middle class,,,,,,,,,,,,
R_28YstG5bJphtn4Q,19/02/19 17:24,19/02/19 17:27,21,Men,Bachelor,Middle class,Oaxaca,Salina Cruz 20079,18-feb-19,Good,,,30.0,1000.0,Friend,18.0,7.0,15.0
R_290VN2bHWeEzhhs,26/02/19 20:05,26/02/19 20:11,21,Men,High school,Middle class,México,Toluca 15106,09jan2019,Good,,,1.0,100.0,Stranger,19.0,90.0,2.0
R_294Cr1gRmrUNhxr,19/02/19 17:59,19/02/19 18:01,21,Men,High school,Middle class,Ciudad de México,Iztapalapa 09007,14-feb-19,Bad,4.5,50.0,,,Stranger,15.0,8.0,4.5
R_294jdCIVzbZRtLv,19/02/19 14:09,19/02/19 14:12,33,Men,Bachelor,Lower middle class,Jalisco,Guadalajara 14039,09-feb-19,Good,,,20.0,50.0,Stranger,20.0,15.0,20.0
R_294yef2jiWtg3Rb,20/02/19 01:01,20/02/19 01:05,27,Men,Bachelor,Upper class,Nuevo León,San Pedro Garza García 19019,19-feb-19,Good,,,25.0,3500.0,Friend,16.0,7.0,25.0
R_295PsKDlmw4pbv8,21/03/19 20:46,21/03/19 20:51,26,Men,High school,Lower middle class,Durango,Gómez Palacio 10007,01-mar-19,Good,,,2.0,30.0,Acquaintance,26.0,100.0,3.0
R_296o6kw21fC8DJI,02/07/19 12:37,02/07/19 12:40,21,Women,High school,Middle class,Ciudad de México,Gustavo A. Madero 09005,12-jun-19,Bad,3.0,50.0,,,Friend,17.0,30.0,3.0
R_297eYCLcdZw7RE5,05/05/19 22:27,05/05/19 22:30,18,Men,High school,Middle class,Ciudad de México,Gustavo A. Madero 09005,05-may-19,Bad,2.0,100.0,,,Stranger,16.0,8.0,3.0
R_29IIZV6UeG511QZ,22/03/19 12:07,22/03/19 12:13,21,Men,High school,Middle class,Querétaro,Querétaro 22014,20-mar-19,Bad,5.0,100.0,,,Acquaintance,12.0,15.0,7.0
R_29bj1dN9SUMdrox,22/03/19 18:05,22/03/19 18:09,35,Men,Bachelor,Lower middle class,Chiapas,Comitán de Domínguez 07019,21-mar-19,Bad,4.0,25.0,,,Acquaintance,22.0,7.0,5.0
R_29cOfhVwtUxq1ay,24/08/19 01:37,24/08/19 01:38,22,Men,Bachelor,Middle class,Morelos,Cuernavaca 17007,,,,,,,,,,
R_29gDaMcLMC4Qs8b,20/02/19 11:45,20/02/19 11:52,33,Women,Bachelor,Middle class,Jalisco,Lagos de Moreno 14053,01dec2018,Good,,,500.0,5000.0,Friend,23.0,30.0,375.0
R_29gGyNZ36HRPESH,22/03/19 12:00,22/03/19 12:02,27,Men,Bachelor,Upper middle class,Querétaro,Querétaro 22014,,Good,,,28.0,800.0,,,,
R_29gl0XZ0TgiDk1q,02/07/19 10:56,02/07/19 10:59,32,Men,Graduate,Middle class,Ciudad de México,Benito Juárez 09014,24-jun-19,Good,,,,,,,,
R_29h6Pcr3nfxInUO,19/02/19 18:10,19/02/19 18:13,23,Men,Bachelor,Middle class,Ciudad de México,Iztapalapa 09007,16-feb-19,Good,,,1.0,85.0,Acquaintance,18.0,1.0,3.0
R_29hK11w4FXxshYp,23/03/19 05:53,23/03/19 05:58,21,Men,High school,Middle class,Ciudad de México,Tlalpan 09012,22-mar-19,Good,,,3.0,450.0,Acquaintance,14.0,5.0,4.0
R_29iRDeiMvJEonje,22/02/19 13:45,22/02/19 13:49,22,Women,Bachelor,Middle class,Veracruz,Xalapa 30087,18-feb-19,Good,,,5.0,50.0,Acquaintance,18.0,15.0,10.0
R_29iSUN3HtxpBsOP,29/08/19 19:18,29/08/19 19:23,20,Men,Bachelor,Middle class,Zacatecas,Zacatecas 32056,12aug2019,Bad,80.0,300.0,,,Acquaintance,18.0,60.0,10.0
R_29izXDpt3TfLavN,26/06/19 11:33,26/06/19 11:38,22,Men,High school,Upper middle class,México,Nezahualcóyotl 15058,12-jun-19,Good,,,6.0,50.0,Stranger,18.0,8.0,9.0
R_29jkRR5KwYV19fP,03/09/19 08:08,03/09/19 08:12,37,Men,Bachelor,Upper middle class,Coahuila,Torreón 05035,31aug2019,Good,,,28.0,1000.0,Acquaintance,36.0,60.0,28.0
R_29jrW2fA6eybtDY,27/02/19 12:18,27/02/19 12:25,28,Women,High school,Lower middle class,Baja California,Tijuana 02004,04-feb-19,Good,,,14.0,200.0,Acquaintance,17.0,7.0,3.0
R_29nb7CasAQi9lMN,25/08/19 17:23,25/08/19 17:26,21,Women,High school,Lower middle class,Chihuahua,Chihuahua 08019,,,,,,,,,,
R_29neps22guiUA9L,30/08/19 16:35,30/08/19 16:40,47,Men,Graduate,Upper middle class,Ciudad de México,Álvaro Obregón 09010,08-jul-19,Good,,,28.0,2500.0,Acquaintance,16.0,30.0,28.0
R_29nsjXbXoMbJNMM,27/08/19 23:00,28/08/19 08:38,31,Men,Bachelor,Upper middle class,Ciudad de México,Benito Juárez 09014,02aug2019,,,,,,,,,
R_29s0UebWINQf8Eh,21/03/19 21:36,21/03/19 21:46,19,Men,Bachelor,Middle class,Nuevo León,Monterrey 19039,04-mar-19,Bad,5.0,50.0,,,Acquaintance,18.0,7.0,5.0
R_29tqwTRjc8FyiDy,21/03/19 21:41,21/03/19 21:47,19,Men,High school,Middle class,Chiapas,San Cristóbal de las Casas 07078,21-mar-19,Good,,,12.0,100.0,Stranger,17.0,1.0,3.0
R_29v3DcKi8Xz7OhV,13/04/19 22:24,13/04/19 22:28,23,Men,Graduate,Upper middle class,Aguascalientes,San Francisco de los Romo 01011,11apr2019,Good,,,1.0,40.0,Acquaintance,22.0,,
R_2A0bB8jHXWXWklP,21/02/19 20:17,21/02/19 20:20,30,Men,Graduate,Middle class,Oaxaca,San Pablo Villa de Mitla 20298,03-feb-19,Good,,,100.0,200.0,Friend,17.0,16.0,100.0
R_2A0iPqaKFv49aKv,15/09/19 01:11,15/09/19 01:14,22,Women,Bachelor,Middle class,Aguascalientes,Aguascalientes 01001,30aug2019,Good,,,12.0,150.0,Stranger,18.0,60.0,15.0
R_2AEz1xE4soVxdL8,20/02/19 10:25,20/02/19 10:28,26,Men,Bachelor,Middle class,Ciudad de México,Benito Juárez 09014,19-feb-19,Good,,,78.0,2500.0,Friend,15.0,15.0,25.0
R_2AFLyGUxzsL0Apa,27/02/19 10:15,27/02/19 10:23,20,Men,High school,Lower middle class,Colima,Villa de Álvarez 06010,15-feb-19,Bad,30.0,100.0,,,Stranger,17.0,15.0,30.0
R_2AG1bPBkO4RJkx1,27/02/19 19:03,27/02/19 19:16,25,Men,Bachelor,Middle class,Tamaulipas,Ciudad Madero 28009,23-feb-19,Bad,1.5,120.0,,,Stranger,16.0,3.0,2.0
